domain,label,Source_File,Type,Layer,Text,true,pred
Moscow,l1,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,1А,Здания и сооружения,Горизонтали
Moscow,l1,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,31/22,Здания и сооружения,Горизонтали
Moscow,l1,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,31/22,Здания и сооружения,Горизонтали
Moscow,l1,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,58С.17,Здания и сооружения,Горизонтали
Moscow,l1,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,31/22,Здания и сооружения,Горизонтали
Moscow,l1,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,25/33,Здания и сооружения,Горизонтали
Moscow,l1,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,25/33,Здания и сооружения,Горизонтали
Moscow,l1,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,25/33,Здания и сооружения,Горизонтали
Moscow,l1,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,31/22,Здания и сооружения,Горизонтали
Moscow,l1,output(1-2)_3_ДЖКХпр-24_00875up.dxf,TEXT,Общий коллектор,183.70в.колл.,Инженерные сети,Неизвестно
Moscow,l1,output(1-2)_3_ДЖКХпр-24_00875up.dxf,TEXT,Общий коллектор,180.29п.колл.,Инженерные сети,Неизвестно
Moscow,l1,output(1-2)_3_ДЖКХпр-24_00875up.dxf,TEXT,Кабель электрический,179.57в.тр.,Инженерные сети,Рельеф
Moscow,l1,output(1-2)_3_ДЖКХпр-24_00875up.dxf,TEXT,Кабель связи,185.27в.тр.,Инженерные сети,Рельеф
Moscow,l1,output(1-2)_edge001(5).dxf,TEXT,0,проезд,Твердые покрытия,Неизвестно
Moscow,l1,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Железные дороги,164.50,Служебные элементы,Элементы благоустройства
Moscow,l1,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Граница улицы,УЛИЦА                       ДВИНЦЕВ,Элементы благоустройства,Твердые покрытия
Moscow,l1,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Фонтаны,АРОЧ.П.,Инженерные сети,Служебные элементы
Moscow,l1,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Фонтаны,АРОЧ.П.,Инженерные сети,Служебные элементы
Moscow,l1,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Фонтаны,АРОЧ.П.,Инженерные сети,Служебные элементы
Moscow,l1,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Граница улицы,УЛИЦА                       ДВИНЦЕВ,Элементы благоустройства,Твердые покрытия
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Общий коллектор,176.75,Служебные элементы,Неизвестно
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Общий коллектор,176.75,Служебные элементы,Неизвестно
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Водосток,178.23,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Водосток,178.23,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Водосток,178.13,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Теплосеть,177.80,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Теплосеть,177.80,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Водосток,178.27,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Водосток,178.27,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Кабель связи,176.16,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Кабель связи,176.60,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Кабель связи,176.92,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Кабели,177.54,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Кабель связи,177.97,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Кабель связи,178.29,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Водосток,176.28,Служебные элементы,Инженерные сети
Moscow,l1,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Водосток,176.02,Служебные элементы,Инженерные сети
